dataset,d,n,seed,method,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
ionosphere,34,151,2,grad_boost,1.0,1.0,1.0,0.92,0.9102,0.9408,0.126,2026-06-24T10:09:31.740452
ionosphere,34,151,2,shallow_rff,0.9735,0.9707,1.0,0.92,0.9095,0.9554,0.037,2026-06-24T10:09:31.843545
ionosphere,34,151,2,mlp,0.9338,0.9252,0.9775,0.885,0.8662,0.9206,0.115,2026-06-24T10:09:32.004222
ionosphere,34,151,2,rbf_exact,0.9934,0.9928,1.0,0.94,0.9332,0.9586,0.002,2026-06-24T10:09:32.030348
ionosphere,34,151,3,linear_svm,0.9669,0.9641,0.9983,0.865,0.8455,0.8384,0.003,2026-06-24T10:09:32.050287
ionosphere,34,151,3,grad_boost,1.0,1.0,1.0,0.915,0.9035,0.9635,0.132,2026-06-24T10:09:32.201773
ionosphere,34,151,3,shallow_rff,0.9934,0.9928,0.9998,0.915,0.9086,0.9699,0.038,2026-06-24T10:09:32.308266
ionosphere,34,151,3,mlp,0.8543,0.8281,0.912,0.785,0.7189,0.8433,0.092,2026-06-24T10:09:32.443007
ionosphere,34,151,3,rbf_exact,0.9934,0.9928,0.9998,0.955,0.95,0.9774,0.002,2026-06-24T10:09:32.463952
ionosphere,34,151,4,linear_svm,0.9669,0.9638,0.9918,0.86,0.8429,0.8674,0.003,2026-06-24T10:09:32.484736
ionosphere,34,151,4,grad_boost,1.0,1.0,1.0,0.93,0.9209,0.9589,0.191,2026-06-24T10:09:32.696684
ionosphere,34,151,4,shallow_rff,0.9934,0.9928,0.9996,0.945,0.9398,0.986,0.041,2026-06-24T10:09:32.801531
ionosphere,34,151,4,mlp,0.8742,0.8587,0.9553,0.89,0.8775,0.9406,0.108,2026-06-24T10:09:32.958636
ionosphere,34,151,4,rbf_exact,0.9934,0.9928,0.9947,0.955,0.9504,0.9829,0.002,2026-06-24T10:09:32.985542
ionosphere,34,151,0,arch_proposed,0.9934,0.9928,1.0,0.93,0.9226,0.9714,0.123,2026-06-24T10:10:29.471430
ionosphere,34,151,1,arch_proposed,0.9934,0.9928,0.999,0.94,0.9345,0.974,0.116,2026-06-24T10:10:29.635492
ionosphere,34,151,2,arch_proposed,0.9868,0.9856,0.9996,0.925,0.9173,0.9787,0.127,2026-06-24T10:10:29.839102
ionosphere,34,151,3,arch_proposed,0.9801,0.9783,0.9954,0.905,0.8945,0.9589,0.128,2026-06-24T10:10:30.037358
ionosphere,34,151,4,arch_proposed,0.9801,0.9783,0.9956,0.94,0.9332,0.9854,0.101,2026-06-24T10:10:30.190918
ecoli,1648,1800,0,linear_svm,1.0,1.0,1.0,0.89,0.89,0.9822,452.483,2026-06-24T10:18:02.780743
ecoli,1648,1800,0,grad_boost,1.0,1.0,1.0,0.975,0.975,0.9987,37.774,2026-06-24T10:18:40.964633
ecoli,1648,1800,0,shallow_rff,1.0,1.0,1.0,0.875,0.8753,0.9856,0.552,2026-06-24T10:18:42.139539
ecoli,1648,1800,0,mlp,0.995,0.995,0.9999,0.945,0.9452,0.9975,2.373,2026-06-24T10:18:44.676201
ecoli,1648,1800,0,rbf_exact,1.0,1.0,1.0,0.97,0.9701,0.9924,1.687,2026-06-24T10:18:52.982383
ecoli,1648,1800,1,linear_svm,1.0,1.0,1.0,0.92,0.9203,0.9845,464.166,2026-06-24T10:26:37.890657
ecoli,1648,1800,1,grad_boost,1.0,1.0,1.0,0.985,0.9849,0.9999,37.604,2026-06-24T10:27:15.898852
ecoli,1648,1800,1,shallow_rff,1.0,1.0,1.0,0.915,0.9146,0.99,0.547,2026-06-24T10:27:17.092037
ecoli,1648,1800,1,mlp,0.9956,0.9956,1.0,0.94,0.9401,0.9993,3.133,2026-06-24T10:27:20.383820
ecoli,1648,1800,1,rbf_exact,1.0,1.0,1.0,0.975,0.975,0.9976,1.863,2026-06-24T10:27:28.666969
ecoli,1648,1800,2,linear_svm,1.0,1.0,1.0,0.91,0.9091,0.9891,476.282,2026-06-24T10:35:25.704332
ecoli,1648,1800,2,grad_boost,1.0,1.0,1.0,0.975,0.975,0.9996,36.741,2026-06-24T10:36:02.777732
ecoli,1648,1800,2,shallow_rff,1.0,1.0,1.0,0.895,0.8961,0.9855,0.549,2026-06-24T10:36:03.930865
ecoli,1648,1800,2,mlp,0.9972,0.9972,1.0,0.96,0.96,0.9985,2.721,2026-06-24T10:36:06.813318
ecoli,1648,1800,2,rbf_exact,1.0,1.0,1.0,0.985,0.985,0.9954,1.826,2026-06-24T10:36:14.832899
ecoli,1648,1800,3,linear_svm,1.0,1.0,1.0,0.875,0.8733,0.9829,481.213,2026-06-24T10:44:16.702965
ecoli,1648,1800,3,grad_boost,1.0,1.0,1.0,0.985,0.985,0.9998,37.441,2026-06-24T10:44:54.630590
ecoli,1648,1800,3,shallow_rff,1.0,1.0,1.0,0.895,0.8933,0.9929,0.558,2026-06-24T10:44:56.028538
ecoli,1648,1800,3,mlp,0.9939,0.9939,0.9998,0.955,0.9546,0.9987,5.246,2026-06-24T10:45:01.484022
ecoli,1648,1800,3,rbf_exact,1.0,1.0,1.0,0.975,0.9747,0.9953,2.144,2026-06-24T10:45:10.302832
ecoli,1648,1800,4,linear_svm,1.0,1.0,1.0,0.9,0.8995,0.9772,474.786,2026-06-24T10:53:05.815513
ecoli,1648,1800,4,grad_boost,1.0,1.0,1.0,0.98,0.9799,0.9995,40.477,2026-06-24T10:53:46.754636
ecoli,1648,1800,4,shallow_rff,1.0,1.0,1.0,0.93,0.9302,0.9849,0.529,2026-06-24T10:53:47.883026
ecoli,1648,1800,4,mlp,0.9956,0.9956,0.9997,0.96,0.9597,0.9952,2.598,2026-06-24T10:53:50.686708
ecoli,1648,1800,4,rbf_exact,1.0,1.0,1.0,0.985,0.985,0.9933,1.699,2026-06-24T10:53:57.955013
ecoli,1648,1800,0,arch_proposed,1.0,1.0,1.0,0.94,0.9406,0.9927,5.885,2026-06-24T11:21:30.154174
ecoli,1648,1800,1,arch_proposed,1.0,1.0,1.0,0.955,0.9553,0.9954,6.047,2026-06-24T11:21:37.390779
ecoli,1648,1800,2,arch_proposed,1.0,1.0,1.0,0.96,0.9603,0.9943,5.518,2026-06-24T11:21:44.053710
ecoli,1648,1800,3,arch_proposed,1.0,1.0,1.0,0.945,0.9442,0.9959,5.347,2026-06-24T11:21:50.525472
ecoli,1648,1800,4,arch_proposed,1.0,1.0,1.0,0.96,0.9597,0.9908,6.243,2026-06-24T11:21:58.217419
glass,9,14,0,linear_svm,0.8571,0.9167,0.9833,0.625,0.5213,0.7103,0.003,2026-06-24T11:21:58.499765
glass,9,14,0,grad_boost,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.265,2026-06-24T11:21:58.830154
glass,9,14,0,shallow_rff,0.7857,0.7393,0.9963,0.485,0.2707,0.8014,0.015,2026-06-24T11:21:58.904843
glass,9,14,0,mlp,0.6429,0.3568,0.7475,0.47,0.2734,0.5762,0.039,2026-06-24T11:21:58.992642
glass,9,14,0,rbf_exact,0.9286,0.961,0.9958,0.545,0.3612,0.8024,0.002,2026-06-24T11:21:59.018286
glass,9,14,1,linear_svm,1.0,1.0,1.0,0.505,0.4346,0.77,0.002,2026-06-24T11:21:59.043858
glass,9,14,1,grad_boost,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.172,2026-06-24T11:21:59.266740
glass,9,14,1,shallow_rff,1.0,1.0,1.0,0.54,0.338,0.7692,0.014,2026-06-24T11:21:59.349533
glass,9,14,1,mlp,0.6429,0.6111,0.9718,0.415,0.2922,0.704,0.04,2026-06-24T11:21:59.437131
glass,9,14,1,rbf_exact,1.0,1.0,1.0,0.585,0.4763,0.8024,0.001,2026-06-24T11:21:59.464649
glass,9,14,2,linear_svm,1.0,1.0,0.9917,0.535,0.3421,0.7783,0.002,2026-06-24T11:21:59.490570
glass,9,14,2,grad_boost,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.179,2026-06-24T11:21:59.739873
glass,9,14,2,shallow_rff,1.0,1.0,1.0,0.39,0.2473,0.7682,0.016,2026-06-24T11:21:59.845785
glass,9,14,2,mlp,0.9286,0.8182,0.9917,0.575,0.3744,0.6674,0.079,2026-06-24T11:21:59.984142
glass,9,14,2,rbf_exact,1.0,1.0,1.0,0.475,0.3408,0.7556,0.002,2026-06-24T11:22:00.013431
glass,9,14,3,linear_svm,1.0,1.0,1.0,0.465,0.47,0.7161,0.002,2026-06-24T11:22:00.043683
glass,9,14,3,grad_boost,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.178,2026-06-24T11:22:00.296451
glass,9,14,3,shallow_rff,1.0,1.0,1.0,0.43,0.3024,0.7023,0.016,2026-06-24T11:22:00.423906
glass,9,14,3,mlp,0.5714,0.399,0.9028,0.295,0.1751,0.5356,0.122,2026-06-24T11:22:00.601208
glass,9,14,3,rbf_exact,1.0,1.0,1.0,0.47,0.3259,0.8108,0.002,2026-06-24T11:22:00.636847
glass,9,14,4,linear_svm,0.9286,0.961,0.9921,0.46,0.4201,0.7198,0.002,2026-06-24T11:22:00.668398
glass,9,14,4,grad_boost,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.171,2026-06-24T11:22:00.904670
glass,9,14,4,shallow_rff,0.9286,0.961,0.9884,0.41,0.2652,0.7216,0.017,2026-06-24T11:22:01.024402
glass,9,14,4,mlp,0.3571,0.2687,0.7803,0.255,0.1305,0.5842,0.038,2026-06-24T11:22:01.109780
glass,9,14,4,rbf_exact,0.8571,0.925,0.9921,0.465,0.3571,0.7767,0.002,2026-06-24T11:22:01.135537
glass,9,14,0,arch_proposed,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.015,2026-06-24T11:23:08.761489
glass,9,14,1,arch_proposed,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.014,2026-06-24T11:23:08.823004
glass,9,14,2,arch_proposed,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.015,2026-06-24T11:23:08.890441
glass,9,14,3,arch_proposed,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.017,2026-06-24T11:23:08.979479
glass,9,14,4,arch_proposed,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.015,2026-06-24T11:23:09.072928
magic,10,17118,0,linear_svm,0.7899,0.7547,0.8394,0.7876,0.7532,0.8456,0.04,2026-06-24T11:23:09.171630
magic,10,17118,0,grad_boost,0.9248,0.9153,0.975,0.8912,0.8771,0.9422,0.331,2026-06-24T11:23:09.640542
magic,10,17118,0,shallow_rff,0.8699,0.8512,0.9145,0.8801,0.8633,0.9229,1.876,2026-06-24T11:23:13.173820
magic,10,17118,0,mlp,0.8783,0.8602,0.9354,0.8828,0.8654,0.9372,7.939,2026-06-24T11:23:21.487065
magic,10,17118,0,rbf_exact,0.884,0.866,0.9363,0.888,0.8713,0.9348,3.143,2026-06-24T11:23:30.526484
magic,10,17118,1,linear_svm,0.7916,0.7571,0.8417,0.776,0.7393,0.8222,0.018,2026-06-24T11:23:31.162717
magic,10,17118,1,grad_boost,0.9238,0.9142,0.9742,0.8743,0.8592,0.9317,0.239,2026-06-24T11:23:31.524824
magic,10,17118,1,shallow_rff,0.8714,0.852,0.9197,0.8538,0.834,0.909,2.506,2026-06-24T11:23:36.136259
magic,10,17118,1,mlp,0.8887,0.8732,0.9463,0.868,0.8512,0.9316,15.065,2026-06-24T11:23:51.659282
magic,10,17118,1,rbf_exact,0.8857,0.868,0.9365,0.8707,0.8516,0.9277,3.149,2026-06-24T11:24:01.023201
magic,10,17118,2,linear_svm,0.7909,0.7561,0.8409,0.7734,0.7359,0.8347,0.024,2026-06-24T11:24:01.665769
magic,10,17118,2,grad_boost,0.9166,0.9059,0.9696,0.8812,0.8647,0.935,0.265,2026-06-24T11:24:02.043591
magic,10,17118,2,shallow_rff,0.8731,0.8551,0.916,0.8665,0.8479,0.9173,1.803,2026-06-24T11:24:05.698094
magic,10,17118,2,mlp,0.8797,0.8633,0.9354,0.8617,0.8435,0.9233,8.94,2026-06-24T11:24:15.011815
magic,10,17118,2,rbf_exact,0.8863,0.8687,0.9372,0.8659,0.8447,0.9235,3.14,2026-06-24T11:24:24.113784
magic,10,17118,3,linear_svm,0.7891,0.754,0.8407,0.7928,0.758,0.8338,0.018,2026-06-24T11:24:24.732568
magic,10,17118,3,grad_boost,0.9196,0.9092,0.9725,0.8822,0.8669,0.9298,0.229,2026-06-24T11:24:25.062888
magic,10,17118,3,shallow_rff,0.8694,0.8479,0.9164,0.8696,0.8486,0.9095,1.465,2026-06-24T11:24:28.131778
magic,10,17118,3,mlp,0.8811,0.8665,0.9385,0.8764,0.8615,0.9322,8.817,2026-06-24T11:24:37.312017
magic,10,17118,3,rbf_exact,0.8843,0.8663,0.9365,0.8812,0.8639,0.928,3.099,2026-06-24T11:24:46.270710
magic,10,17118,4,linear_svm,0.7895,0.7541,0.8393,0.7902,0.7585,0.8465,0.017,2026-06-24T11:24:46.891141
magic,10,17118,4,grad_boost,0.9312,0.9223,0.9786,0.8964,0.8839,0.9489,0.278,2026-06-24T11:24:47.306742
magic,10,17118,4,shallow_rff,0.8695,0.8502,0.9164,0.8807,0.864,0.9191,1.828,2026-06-24T11:24:50.893561
magic,10,17118,4,mlp,0.8875,0.8729,0.943,0.8859,0.8723,0.9376,15.589,2026-06-24T11:25:06.980688
magic,10,17118,4,rbf_exact,0.8849,0.867,0.9366,0.887,0.8707,0.9303,3.398,2026-06-24T11:25:16.474283
magic,10,17118,0,arch_proposed,0.8715,0.8537,0.9337,0.8822,0.8665,0.9363,58.43,2026-06-24T12:01:44.000948
magic,10,17118,1,arch_proposed,0.8743,0.857,0.9365,0.8475,0.8281,0.9218,52.395,2026-06-24T12:02:48.198091
magic,10,17118,2,arch_proposed,0.8739,0.8564,0.9339,0.8628,0.8441,0.9215,56.016,2026-06-24T12:03:55.310457
magic,10,17118,3,arch_proposed,0.8733,0.8558,0.9352,0.8801,0.8641,0.93,51.83,2026-06-24T12:04:58.197038
magic,10,17118,4,arch_proposed,0.8715,0.8536,0.9337,0.8796,0.8636,0.9316,52.636,2026-06-24T12:06:01.566761
covertype,98,100000,0,linear_svm,0.7152,0.4534,0.9254,0.7116,0.4522,0.9252,57.486,2026-06-24T12:07:00.892015
covertype,98,100000,0,grad_boost,0.7975,0.7533,0.9591,0.7849,0.7081,0.9445,2.233,2026-06-24T12:07:04.902274
covertype,98,100000,0,shallow_rff,0.7295,0.4719,0.9411,0.7256,0.4719,0.9396,10.607,2026-06-24T12:07:31.995886
covertype,98,100000,0,mlp,0.9592,0.9316,0.9981,0.9164,0.8642,0.9926,257.273,2026-06-24T12:11:56.940237
covertype,98,100000,0,rbf_exact,-,-,-,-,-,-,-,2026-06-24T12:11:57.618353
covertype,98,100000,1,linear_svm,0.7129,0.4759,0.9248,0.7095,0.469,0.9235,44.076,2026-06-24T12:12:42.291121
covertype,98,100000,1,grad_boost,0.8624,0.8661,0.9705,0.8375,0.7764,0.9554,9.048,2026-06-24T12:12:57.944948
covertype,98,100000,1,shallow_rff,0.7296,0.4719,0.9411,0.7288,0.4758,0.9376,10.552,2026-06-24T12:13:24.833124
covertype,98,100000,1,mlp,0.9532,0.9223,0.9978,0.9129,0.8505,0.9916,238.513,2026-06-24T12:17:30.211100
covertype,98,100000,1,rbf_exact,-,-,-,-,-,-,-,2026-06-24T12:17:30.921629
covertype,98,100000,2,linear_svm,0.7119,0.4634,0.925,0.7139,0.465,0.9252,85.011,2026-06-24T12:18:56.510535
covertype,98,100000,2,grad_boost,0.9253,0.957,0.9943,0.884,0.8455,0.9848,23.151,2026-06-24T12:19:37.121714
covertype,98,100000,2,shallow_rff,0.7287,0.4766,0.9393,0.7269,0.4726,0.9366,9.823,2026-06-24T12:20:06.956076
covertype,98,100000,2,mlp,0.9581,0.9383,0.9981,0.9168,0.8644,0.9922,313.091,2026-06-24T12:25:27.393773
covertype,98,100000,2,rbf_exact,-,-,-,-,-,-,-,2026-06-24T12:25:28.556933
covertype,98,100000,3,linear_svm,0.7157,0.4512,0.9246,0.7134,0.4454,0.9242,89.697,2026-06-24T12:26:58.828105
covertype,98,100000,3,grad_boost,0.837,0.8244,0.9721,0.8219,0.758,0.9622,5.292,2026-06-24T12:27:07.981085
covertype,98,100000,3,shallow_rff,0.7291,0.4778,0.9394,0.7265,0.4642,0.9387,9.808,2026-06-24T12:27:32.877840
covertype,98,100000,3,mlp,0.951,0.9247,0.9976,0.9175,0.8682,0.9924,215.828,2026-06-24T12:31:15.458673
covertype,98,100000,3,rbf_exact,-,-,-,-,-,-,-,2026-06-24T12:31:16.071835
covertype,98,100000,4,linear_svm,0.7141,0.4698,0.9253,0.7078,0.4697,0.9249,54.303,2026-06-24T12:32:10.932739
covertype,98,100000,4,grad_boost,0.863,0.8786,0.9706,0.8314,0.7718,0.9564,9.931,2026-06-24T12:32:27.952249
covertype,98,100000,4,shallow_rff,0.728,0.4643,0.9417,0.7222,0.4611,0.9391,11.288,2026-06-24T12:32:55.968567
covertype,98,100000,4,mlp,0.9476,0.9201,0.9972,0.9139,0.8612,0.9923,175.657,2026-06-24T12:35:58.232347
covertype,98,100000,4,rbf_exact,-,-,-,-,-,-,-,2026-06-24T12:35:58.818692
covertype,98,100000,0,arch_proposed,0.8569,0.8052,0.9828,0.837,0.773,0.976,1327.868,2026-06-24T16:32:50.315731
covertype,98,100000,1,arch_proposed,0.8572,0.8134,0.9828,0.8365,0.764,0.9743,1345.857,2026-06-24T16:56:03.663255
covertype,98,100000,2,arch_proposed,0.86,0.8161,0.9836,0.8419,0.7804,0.9767,1289.45,2026-06-24T17:18:18.257780
covertype,98,100000,3,arch_proposed,0.8571,0.8071,0.9828,0.8396,0.7777,0.9758,1308.297,2026-06-24T17:40:51.947706
covertype,98,100000,4,arch_proposed,0.8555,0.8073,0.9828,0.8352,0.7778,0.9753,1443.96,2026-06-24T18:05:47.116760
spambase,57,4141,0,linear_svm,0.9263,0.9222,0.9747,0.9217,0.9172,0.9817,0.081,2026-06-24T18:06:00.646097
spambase,57,4141,0,grad_boost,0.9993,0.9992,1.0,0.9717,0.9703,0.9953,0.809,2026-06-24T18:06:01.633089
spambase,57,4141,0,shallow_rff,0.9519,0.9493,0.9843,0.9326,0.9291,0.9824,0.709,2026-06-24T18:06:02.892064
spambase,57,4141,0,mlp,0.9447,0.9419,0.9825,0.937,0.9341,0.9882,3.702,2026-06-24T18:06:06.720077
spambase,57,4141,0,rbf_exact,0.965,0.9631,0.9914,0.937,0.934,0.9838,0.303,2026-06-24T18:06:07.569993
spambase,57,4141,1,linear_svm,0.9278,0.9237,0.9764,0.9304,0.9264,0.9638,0.052,2026-06-24T18:06:07.685416
spambase,57,4141,1,grad_boost,0.9995,0.9995,1.0,0.9543,0.9523,0.9861,0.542,2026-06-24T18:06:08.317396
spambase,57,4141,1,shallow_rff,0.9493,0.9463,0.9854,0.9283,0.9238,0.9733,0.662,2026-06-24T18:06:09.492256
spambase,57,4141,1,mlp,0.9529,0.9507,0.9884,0.9391,0.9364,0.9769,2.839,2026-06-24T18:06:12.495483
spambase,57,4141,1,rbf_exact,0.9664,0.9647,0.9918,0.9413,0.9382,0.98,0.312,2026-06-24T18:06:13.335445
spambase,57,4141,2,linear_svm,0.9288,0.9248,0.9762,0.9217,0.9177,0.973,0.062,2026-06-24T18:06:13.464283
spambase,57,4141,2,grad_boost,0.9998,0.9997,1.0,0.9609,0.959,0.9929,0.628,2026-06-24T18:06:14.193620
spambase,57,4141,2,shallow_rff,0.9507,0.9479,0.985,0.9196,0.9146,0.9716,0.777,2026-06-24T18:06:15.511905
spambase,57,4141,2,mlp,0.9853,0.9846,0.9967,0.9413,0.9389,0.9765,3.849,2026-06-24T18:06:19.485256
spambase,57,4141,2,rbf_exact,0.9676,0.966,0.992,0.9152,0.9113,0.977,0.279,2026-06-24T18:06:20.253990
spambase,57,4141,3,linear_svm,0.9268,0.9227,0.9751,0.9457,0.9429,0.9746,0.048,2026-06-24T18:06:20.364979
spambase,57,4141,3,grad_boost,0.9993,0.9992,1.0,0.9565,0.9546,0.9917,0.582,2026-06-24T18:06:21.035612
spambase,57,4141,3,shallow_rff,0.9459,0.9426,0.9835,0.9435,0.9404,0.9789,0.694,2026-06-24T18:06:22.229316
spambase,57,4141,3,mlp,0.9853,0.9846,0.9975,0.9522,0.9501,0.9856,4.623,2026-06-24T18:06:26.973351
spambase,57,4141,3,rbf_exact,0.9643,0.9624,0.9915,0.95,0.9479,0.9837,0.289,2026-06-24T18:06:27.797468
spambase,57,4141,4,linear_svm,0.9266,0.9225,0.9741,0.9435,0.9402,0.9855,0.05,2026-06-24T18:06:27.911021
spambase,57,4141,4,grad_boost,0.9993,0.9992,1.0,0.9891,0.9886,0.9991,0.55,2026-06-24T18:06:28.548830
spambase,57,4141,4,shallow_rff,0.9495,0.9467,0.9835,0.95,0.9468,0.9827,0.582,2026-06-24T18:06:29.650507
spambase,57,4141,4,mlp,0.9761,0.975,0.9952,0.9587,0.9567,0.9923,3.062,2026-06-24T18:06:32.859820
spambase,57,4141,4,rbf_exact,0.9657,0.9639,0.9916,0.9478,0.9448,0.9862,0.3,2026-06-24T18:06:33.691136
spambase,57,4141,0,arch_proposed,0.9338,0.9303,0.9796,0.9348,0.9315,0.982,2.303,2026-06-24T18:16:50.219218
spambase,57,4141,1,arch_proposed,0.9375,0.934,0.9811,0.9348,0.9315,0.9712,2.24,2026-06-24T18:16:52.778239
spambase,57,4141,2,arch_proposed,0.9449,0.9421,0.9824,0.9217,0.918,0.9773,2.128,2026-06-24T18:16:55.210739
spambase,57,4141,3,arch_proposed,0.9324,0.9289,0.9793,0.9435,0.941,0.9812,2.19,2026-06-24T18:16:57.717196
spambase,57,4141,4,arch_proposed,0.9348,0.9315,0.9782,0.9565,0.9541,0.9839,2.08,2026-06-24T18:17:00.092724
adult,105,43958,0,linear_svm,0.8541,0.7842,0.9078,0.8518,0.7795,0.9061,0.757,2026-06-24T18:17:01.788802
adult,105,43958,0,grad_boost,0.8894,0.8388,0.9481,0.8735,0.8153,0.9293,1.598,2026-06-24T18:17:04.224470
adult,105,43958,0,shallow_rff,0.847,0.7632,0.8984,0.8471,0.7637,0.8956,3.758,2026-06-24T18:17:12.561698
