dataset,panel,d,n,seed,method,m,L,feeding,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
chess_krk,gap,23,18056,0,flat_arccos,0,0,disjoint,0.6391,0.6333,0.9636,0.54,0.4949,0.9375,53.041,2026-06-24T03:45:42.644991
chess_krk,gap,23,18056,0,rbf_rff,0,0,disjoint,0.5076,0.4457,0.94,0.4648,0.409,0.9212,1.602,2026-06-24T03:45:46.231474
chess_krk,gap,23,18056,0,arch,20,1,disjoint,0.6226,0.6698,0.9548,0.5325,0.5046,0.928,110.358,2026-06-24T03:47:37.307817
chess_krk,gap,23,18056,0,arch,20,2,disjoint,0.6721,0.7329,0.9686,0.5683,0.5506,0.9399,127.027,2026-06-24T03:49:45.999421
chess_krk,gap,23,18056,0,arch,20,3,disjoint,0.6984,0.7663,0.9741,0.5773,0.5591,0.9444,171.745,2026-06-24T03:52:40.688158
chess_krk,gap,23,18056,0,arch,20,4,disjoint,0.7159,0.7892,0.9776,0.5871,0.576,0.9384,194.799,2026-06-24T03:55:59.505696
chess_krk,gap,23,18056,0,arch,20,5,disjoint,0.734,0.805,0.9803,0.5903,0.5767,0.9396,219.059,2026-06-24T03:59:43.974544
