dataset,panel,d,n,seed,method,m,L,feeding,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
poker,gap,10,40000,2,arch,70,1,disjoint,0.5737,0.3987,,0.5437,0.2049,0.4724,152.189,2026-06-23T01:28:31.922107
poker,gap,10,40000,2,arch,70,2,disjoint,0.5919,0.5395,,0.5548,0.1654,0.5319,121.529,2026-06-23T01:30:37.757640
poker,gap,10,40000,2,arch,70,3,disjoint,0.6002,0.5576,,0.5538,0.1533,0.4783,131.537,2026-06-23T01:32:56.128006
poker,gap,10,40000,2,arch,70,4,disjoint,0.6027,0.5844,,0.5499,0.1672,0.4965,138.53,2026-06-23T01:35:23.869862
poker,gap,10,40000,2,arch,70,5,disjoint,0.6082,0.6259,,0.5542,0.1768,0.436,157.946,2026-06-23T01:38:13.564681
poker,gap,10,70000,0,flat_arccos,0,0,disjoint,0.5681,0.1922,,0.5517,0.1874,,95.572,2026-06-23T01:39:50.184457
poker,gap,10,70000,0,rbf_rff,0,0,disjoint,0.6075,0.2931,,0.5652,0.2084,,1332.369,2026-06-23T02:02:21.994286
poker,gap,10,70000,0,arch,20,1,disjoint,0.5694,0.2616,,0.5519,0.231,,78.821,2026-06-23T02:03:42.447212
poker,gap,10,70000,0,arch,20,2,disjoint,0.585,0.3483,,0.5566,0.1903,,109.563,2026-06-23T02:05:35.193856
poker,gap,10,70000,0,arch,20,3,disjoint,0.5912,0.3826,,0.5541,0.2022,,138.477,2026-06-23T02:07:58.484202
poker,gap,10,70000,0,arch,20,4,disjoint,0.5963,0.4318,,0.5512,0.1511,,168.652,2026-06-23T02:10:53.568097
poker,gap,10,70000,0,arch,20,5,disjoint,0.6015,0.4753,,0.5494,0.1741,,200.884,2026-06-23T02:14:22.553361
poker,gap,10,70000,0,arch,50,1,disjoint,0.5676,0.362,,0.5484,0.2471,,133.047,2026-06-23T02:16:37.955000
poker,gap,10,70000,0,arch,50,2,disjoint,0.5825,0.3908,,0.5558,0.1664,,118.555,2026-06-23T02:18:41.911698
poker,gap,10,70000,0,arch,50,3,disjoint,0.5858,0.4109,,0.5547,0.1895,,144.391,2026-06-23T02:21:14.706332
poker,gap,10,70000,0,arch,50,4,disjoint,0.5892,0.474,,0.5537,0.1999,,178.683,2026-06-23T02:24:24.820143
poker,gap,10,70000,0,arch,50,5,disjoint,0.5924,0.5281,,0.5496,0.1972,,220.844,2026-06-23T02:28:20.020245
poker,gap,10,70000,0,arch,70,1,disjoint,0.567,0.3802,,0.547,0.2385,,211.966,2026-06-23T02:31:54.905432
poker,gap,10,70000,0,arch,70,2,disjoint,0.5828,0.4017,,0.5609,0.2051,,119.504,2026-06-23T02:34:01.205880
poker,gap,10,70000,0,arch,70,3,disjoint,0.5912,0.4256,,0.558,0.1981,,129.122,2026-06-23T02:36:21.182823
poker,gap,10,70000,0,arch,70,4,disjoint,0.5939,0.4892,,0.5541,0.188,,151.945,2026-06-23T02:39:07.672171
poker,gap,10,70000,0,arch,70,5,disjoint,0.5963,0.5606,,0.5537,0.1841,,171.825,2026-06-23T02:42:17.857250
poker,gap,10,70000,1,flat_arccos,0,0,disjoint,0.5656,0.1791,,0.5575,0.1516,,101.137,2026-06-23T02:43:59.993799
poker,gap,10,70000,1,rbf_rff,0,0,disjoint,0.6036,0.3425,,0.5731,0.168,,1345.407,2026-06-23T03:06:44.794576
poker,gap,10,70000,1,arch,20,1,disjoint,0.5663,0.3668,,0.5582,0.2481,,84.284,2026-06-23T03:08:10.711807
poker,gap,10,70000,1,arch,20,2,disjoint,0.5824,0.4243,,0.5638,0.1731,,113.175,2026-06-23T03:10:07.296771
poker,gap,10,70000,1,arch,20,3,disjoint,0.5875,0.443,,0.5632,0.1594,,144.351,2026-06-23T03:12:36.777033
poker,gap,10,70000,1,arch,20,4,disjoint,0.5933,0.4873,,0.5597,0.1769,,177.739,2026-06-23T03:15:41.426140
poker,gap,10,70000,1,arch,20,5,disjoint,0.5994,0.5585,,0.5494,0.1524,,210.98,2026-06-23T03:19:21.081488
poker,gap,10,70000,1,arch,50,1,disjoint,0.5642,0.4501,,0.5574,0.2553,,152.398,2026-06-23T03:21:56.016553
poker,gap,10,70000,1,arch,50,2,disjoint,0.5777,0.4578,,0.5663,0.1739,,126.494,2026-06-23T03:24:08.348598
poker,gap,10,70000,1,arch,50,3,disjoint,0.5831,0.4947,,0.5655,0.1649,,162.405,2026-06-23T03:26:59.753573
poker,gap,10,70000,1,arch,50,4,disjoint,0.5853,0.553,,0.5645,0.1637,,197.566,2026-06-23T03:30:29.695563
poker,gap,10,70000,1,arch,50,5,disjoint,0.5866,0.5858,,0.5558,0.1666,,238.535,2026-06-23T03:34:44.188529
poker,gap,10,70000,1,arch,70,1,disjoint,0.5636,0.4583,,0.5564,0.2515,,242.99,2026-06-23T03:38:50.329649
poker,gap,10,70000,1,arch,70,2,disjoint,0.5803,0.4621,,0.5614,0.2046,,140.835,2026-06-23T03:41:18.525675
poker,gap,10,70000,1,arch,70,3,disjoint,0.5832,0.5268,,0.5545,0.1757,,154.631,2026-06-23T03:44:04.957971
poker,gap,10,70000,1,arch,70,4,disjoint,0.5904,0.5919,,0.5581,0.1663,,181.551,2026-06-23T03:47:22.542040
poker,gap,10,70000,1,arch,70,5,disjoint,0.5909,0.6064,,0.5557,0.1633,,210.493,2026-06-23T03:51:13.398746
poker,gap,10,70000,2,flat_arccos,0,0,disjoint,0.568,0.1649,0.8801,0.5497,0.1996,,105.38,2026-06-23T03:52:59.802973
poker,gap,10,70000,2,rbf_rff,0,0,disjoint,0.6062,0.3337,0.9108,0.5691,0.2438,,1237.728,2026-06-23T04:13:56.945840
poker,gap,10,70000,2,arch,20,1,disjoint,0.5673,0.3175,0.866,0.5501,0.2529,,87.426,2026-06-23T04:15:26.162138
poker,gap,10,70000,2,arch,20,2,disjoint,0.5853,0.5021,0.887,0.557,0.2076,,113.684,2026-06-23T04:17:23.417567
poker,gap,10,70000,2,arch,20,3,disjoint,0.5918,0.5101,0.8959,0.5531,0.1956,,144.808,2026-06-23T04:19:53.653940
poker,gap,10,70000,2,arch,20,4,disjoint,0.5972,0.5422,0.9035,0.5488,0.1893,,175.429,2026-06-23T04:22:56.409156
poker,gap,10,70000,2,arch,20,5,disjoint,0.6011,0.5925,0.909,0.5469,0.1885,,212.288,2026-06-23T04:26:37.852958
poker,gap,10,70000,2,arch,50,1,disjoint,0.5667,0.4937,0.8727,0.552,0.2534,,150.248,2026-06-23T04:29:10.823181
poker,gap,10,70000,2,arch,50,2,disjoint,0.5804,0.5151,0.8838,0.557,0.1977,,134.663,2026-06-23T04:31:31.746572
poker,gap,10,70000,2,arch,50,3,disjoint,0.5867,0.5542,0.8896,0.5537,0.1791,,168.66,2026-06-23T04:34:30.285995
poker,gap,10,70000,2,arch,50,4,disjoint,0.5888,0.5902,0.8934,0.5485,0.1641,,204.345,2026-06-23T04:38:07.893585
poker,gap,10,70000,2,arch,50,5,disjoint,0.59,0.634,0.8967,0.5466,0.1674,,241.935,2026-06-23T04:42:26.721026
poker,gap,10,70000,2,arch,70,1,disjoint,0.5663,0.5096,0.8741,0.5509,0.2575,,231.887,2026-06-23T04:46:21.965997
poker,gap,10,70000,2,arch,70,2,disjoint,0.5813,0.5311,0.8841,0.5605,0.2124,,144.758,2026-06-23T04:48:54.825733
poker,gap,10,70000,2,arch,70,3,disjoint,0.5881,0.5697,0.8882,0.559,0.1925,,167.32,2026-06-23T04:51:54.772489
poker,gap,10,70000,2,arch,70,4,disjoint,0.5887,0.6076,0.8918,0.551,0.1907,,193.187,2026-06-23T04:55:25.299107
poker,gap,10,70000,2,arch,70,5,disjoint,0.5941,0.6491,0.8954,0.5507,0.1757,,238.19,2026-06-23T04:59:45.693968
poker,gap,10,100000,0,flat_arccos,0,0,disjoint,0.5654,0.1756,0.875,0.5556,0.2035,,160.628,2026-06-23T05:02:27.671080
poker,gap,10,100000,0,rbf_rff,0,0,disjoint,0.6007,0.4062,0.9065,0.5741,0.2556,,2082.269,2026-06-23T05:37:36.904926
poker,gap,10,100000,0,arch,20,1,disjoint,0.565,0.377,0.8632,0.555,0.2629,,129.724,2026-06-23T05:39:49.047886
poker,gap,10,100000,0,arch,20,2,disjoint,0.5842,0.4452,0.8835,0.569,0.2481,,178.318,2026-06-23T05:42:52.416858
poker,gap,10,100000,0,arch,20,3,disjoint,0.5893,0.5127,0.8912,0.5636,0.248,,231.599,2026-06-23T05:46:51.534037
poker,gap,10,100000,0,arch,20,4,disjoint,0.5929,0.5226,0.8976,0.5599,0.2359,,287.718,2026-06-23T05:51:49.301691
poker,gap,10,100000,0,arch,20,5,disjoint,0.5969,0.5518,0.9028,0.5588,0.2447,,348.889,2026-06-23T05:57:51.071245
poker,gap,10,100000,0,arch,50,1,disjoint,0.5644,0.4583,0.8676,0.5568,0.2633,,217.891,2026-06-23T06:01:32.735134
poker,gap,10,100000,0,arch,50,2,disjoint,0.5802,0.514,0.8804,0.5634,0.2442,,297.008,2026-06-23T06:06:38.420611
poker,gap,10,100000,0,arch,50,3,disjoint,0.5839,0.5151,0.8859,0.5596,0.2292,,401.674,2026-06-23T06:13:33.523609
poker,gap,10,100000,0,arch,50,4,disjoint,0.5833,0.5373,0.8905,0.5581,0.2193,,529.857,2026-06-23T06:22:41.646359
poker,gap,10,100000,0,arch,50,5,disjoint,0.5845,0.5685,0.8931,0.5585,0.211,,683.409,2026-06-23T06:34:28.352782
poker,gap,10,100000,0,arch,70,1,disjoint,0.5643,0.471,0.8699,0.5533,0.2623,,374.389,2026-06-23T06:40:47.391360
poker,gap,10,100000,0,arch,70,2,disjoint,0.5792,0.5157,0.8805,0.5662,0.217,,265.733,2026-06-23T06:45:24.253560
poker,gap,10,100000,0,arch,70,3,disjoint,0.5816,0.5207,0.8839,0.5626,0.2298,,297.561,2026-06-23T06:50:39.260454
poker,gap,10,100000,0,arch,70,4,disjoint,0.5849,0.5401,0.8869,0.5607,0.2053,,375.842,2026-06-23T06:57:19.122987
poker,gap,10,100000,0,arch,70,5,disjoint,0.5865,0.5763,0.8904,0.5607,0.2057,,422.895,2026-06-23T07:04:52.459777
poker,gap,10,100000,1,flat_arccos,0,0,disjoint,0.5659,0.1876,,0.5477,0.1782,,148.482,2026-06-23T07:07:24.171455
poker,gap,10,100000,1,rbf_rff,0,0,disjoint,0.5995,0.3232,,0.5691,0.2276,,1911.431,2026-06-23T07:39:41.304998
poker,gap,10,100000,1,arch,20,1,disjoint,0.5655,0.3447,,0.551,0.2555,,109.544,2026-06-23T07:41:32.904007
poker,gap,10,100000,1,arch,20,2,disjoint,0.5832,0.4084,,0.5616,0.2061,,157.454,2026-06-23T07:44:14.273840
poker,gap,10,100000,1,arch,20,3,disjoint,0.5881,0.4466,,0.5581,0.1995,,204.283,2026-06-23T07:47:44.734350
poker,gap,10,100000,1,arch,20,4,disjoint,0.5936,0.4626,,0.5582,0.1895,,255.18,2026-06-23T07:52:08.110967
poker,gap,10,100000,1,arch,20,5,disjoint,0.5969,0.4775,,0.5561,0.196,,310.264,2026-06-23T07:57:28.632585
poker,gap,10,100000,1,arch,50,1,disjoint,0.5658,0.4465,,0.5474,0.251,,192.856,2026-06-23T08:00:44.239122
poker,gap,10,100000,1,arch,50,2,disjoint,0.5786,0.4585,,0.5575,0.216,,248.128,2026-06-23T08:04:59.225809
poker,gap,10,100000,1,arch,50,3,disjoint,0.5808,0.4612,,0.5616,0.1774,,358.365,2026-06-23T08:11:08.550802
