dataset,n_train,arm,m,L,train_acc,acc,cos_sim
Optdigits,3823,D_dm_fullP,10,1,0.9967,0.9659,0.3074
Optdigits,3823,D_dm_fullP,10,2,0.9986,0.9638,0.3074
Optdigits,3823,D_sqrt_fullP,1,1,0.738,0.6498,1.0
Optdigits,3823,D_sqrt_fullP,1,2,0.5258,0.4867,1.0
Optdigits,3823,D_sqrt_fullP,10,1,0.9916,0.9606,0.4085
Optdigits,3823,D_sqrt_fullP,10,2,0.992,0.9454,0.4085
Satimage,500,B_in_dm,1,1,1.0,0.846,1.0
Satimage,500,B_in_dm,1,2,1.0,0.8481,1.0
Satimage,500,B_in_dm,10,1,0.9907,0.8551,0.717
Satimage,500,B_in_dm,10,2,0.9993,0.8593,0.717
Satimage,500,B_in_sqrt,1,1,0.9433,0.8284,1.0
Satimage,500,B_in_sqrt,1,2,0.7607,0.7102,1.0
Satimage,500,B_in_sqrt,10,1,0.9953,0.8541,0.8406
Satimage,500,B_in_sqrt,10,2,1.0,0.8541,0.8406
Satimage,500,B_in_sqrt,50,1,1.0,0.8447,0.8346
Satimage,500,B_in_sqrt,50,2,1.0,0.8665,0.8346
Satimage,500,C_splitdata_fullcols,1,1,1.0,0.8515,1.0
Satimage,500,C_splitdata_fullcols,1,2,1.0,0.8538,1.0
Satimage,500,D_dm_fullP,1,1,1.0,0.8543,1.0
Satimage,500,D_dm_fullP,1,2,1.0,0.8548,1.0
Satimage,500,D_sqrt_fullP,1,1,0.9433,0.8297,1.0
Satimage,500,D_sqrt_fullP,1,2,0.7487,0.6825,1.0
Satimage,1000,B_in_dm,1,1,0.9957,0.8769,1.0
Satimage,1000,B_in_dm,1,2,0.9987,0.8699,1.0
Satimage,1000,B_in_dm,10,1,0.9707,0.8787,0.7164
Satimage,1000,B_in_dm,10,2,0.9977,0.8795,0.7164
Satimage,1000,B_in_sqrt,1,1,0.9157,0.8463,1.0
Satimage,1000,B_in_sqrt,1,2,0.7647,0.7237,1.0
Satimage,1000,B_in_sqrt,10,1,0.984,0.8818,0.8277
Satimage,1000,B_in_sqrt,10,2,0.997,0.8787,0.8277
Satimage,1000,B_in_sqrt,50,1,1.0,0.8748,0.8146
Satimage,1000,B_in_sqrt,50,2,1.0,0.8885,0.8146
Satimage,1000,C_splitdata_fullcols,1,1,0.995,0.8743,1.0
Satimage,1000,C_splitdata_fullcols,1,2,0.9977,0.8701,1.0
Satimage,1000,D_dm_fullP,1,1,0.996,0.8769,1.0
Satimage,1000,D_dm_fullP,1,2,0.9983,0.8725,1.0
Satimage,1000,D_sqrt_fullP,1,1,0.913,0.8481,1.0
Satimage,1000,D_sqrt_fullP,1,2,0.7543,0.7151,1.0
Satimage,2000,B_in_dm,1,1,0.985,0.8862,1.0
Satimage,2000,B_in_dm,1,2,0.9887,0.8805,1.0
Satimage,2000,B_in_dm,10,1,0.939,0.8766,0.7341
Satimage,2000,B_in_dm,10,2,0.9802,0.8815,0.7341
Satimage,2000,B_in_sqrt,1,1,0.8995,0.8528,1.0
Satimage,2000,B_in_sqrt,1,2,0.7338,0.7245,1.0
Satimage,2000,B_in_sqrt,10,1,0.967,0.8922,0.8413
Satimage,2000,B_in_sqrt,10,2,0.9887,0.8885,0.8413
Satimage,2000,B_in_sqrt,50,1,0.9977,0.8841,0.8228
Satimage,2000,B_in_sqrt,50,2,1.0,0.8992,0.8228
Satimage,2000,C_splitdata_fullcols,1,1,0.9865,0.8844,1.0
Satimage,2000,C_splitdata_fullcols,1,2,0.99,0.8813,1.0
Satimage,2000,C_splitdata_fullcols,10,1,0.9295,0.8826,0.2364
Satimage,2000,C_splitdata_fullcols,10,2,0.9437,0.8893,0.2364
Satimage,2000,D_dm_fullP,1,1,0.9877,0.8854,1.0
Satimage,2000,D_dm_fullP,1,2,0.9908,0.887,1.0
Satimage,2000,D_dm_fullP,10,1,0.9212,0.8782,0.6788
Satimage,2000,D_dm_fullP,10,2,0.9317,0.8888,0.6788
Satimage,2000,D_sqrt_fullP,1,1,0.8962,0.8523,1.0
Satimage,2000,D_sqrt_fullP,1,2,0.744,0.7198,1.0
Satimage,2000,D_sqrt_fullP,10,1,0.9205,0.8852,0.752
Satimage,2000,D_sqrt_fullP,10,2,0.9348,0.8823,0.752
Satimage,4435,B_in_dm,1,1,0.9704,0.9025,1.0
Satimage,4435,B_in_dm,1,2,0.9763,0.8992,1.0
Satimage,4435,B_in_dm,10,1,0.9209,0.8919,0.7367
Satimage,4435,B_in_dm,10,2,0.956,0.8968,0.7367
Satimage,4435,B_in_sqrt,1,1,0.887,0.8567,1.0
Satimage,4435,B_in_sqrt,1,2,0.7695,0.7602,1.0
Satimage,4435,B_in_sqrt,10,1,0.9431,0.9007,0.8418
Satimage,4435,B_in_sqrt,10,2,0.9709,0.9069,0.8418
Satimage,4435,B_in_sqrt,50,1,0.9854,0.8994,0.8297
Satimage,4435,B_in_sqrt,50,2,0.9997,0.9184,0.8297
Satimage,4435,C_splitdata_fullcols,1,1,0.9714,0.9038,1.0
Satimage,4435,C_splitdata_fullcols,1,2,0.9771,0.9018,1.0
Satimage,4435,C_splitdata_fullcols,10,1,0.9194,0.8935,0.2112
Satimage,4435,C_splitdata_fullcols,10,2,0.9359,0.9025,0.2112
Satimage,4435,D_dm_fullP,1,1,0.9701,0.9038,1.0
Satimage,4435,D_dm_fullP,1,2,0.9781,0.9005,1.0
Satimage,4435,D_dm_fullP,10,1,0.9077,0.8891,0.6907
Satimage,4435,D_dm_fullP,10,2,0.9199,0.8929,0.6907
Satimage,4435,D_sqrt_fullP,1,1,0.8885,0.8598,1.0
Satimage,4435,D_sqrt_fullP,1,2,0.7866,0.7784,1.0
Satimage,4435,D_sqrt_fullP,10,1,0.9188,0.8937,0.8109
Satimage,4435,D_sqrt_fullP,10,2,0.9237,0.8979,0.8109
