dataset,n_train,arm,m,L,train_acc,acc,cos_sim
CoverType,50000,C_splitdata_fullcols,1,2,0.8062,0.7931,1.0
CoverType,50000,C_splitdata_fullcols,10,1,0.782,0.7744,0.3284
CoverType,50000,C_splitdata_fullcols,10,2,0.8072,0.7946,0.3284
CoverType,50000,C_splitdata_fullcols,50,1,0.7801,0.7731,0.1586
CoverType,50000,C_splitdata_fullcols,50,2,0.7978,0.7863,0.1586
Digits8x8,500,B_in_dm,1,1,1.0,0.968,1.0
Digits8x8,500,B_in_dm,1,2,1.0,0.968,1.0
Digits8x8,500,B_in_dm,10,1,1.0,0.9407,0.3348
Digits8x8,500,B_in_dm,10,2,1.0,0.9567,0.3348
Digits8x8,500,B_in_dm,50,1,1.0,0.914,0.0759
Digits8x8,500,B_in_dm,50,2,1.0,0.9627,0.0759
Digits8x8,500,B_in_sqrt,1,1,0.8927,0.606,1.0
Digits8x8,500,B_in_sqrt,1,2,0.638,0.4593,1.0
Digits8x8,500,B_in_sqrt,10,1,1.0,0.926,0.4418
Digits8x8,500,B_in_sqrt,10,2,1.0,0.9287,0.4418
Digits8x8,500,B_in_sqrt,50,1,1.0,0.9633,0.466
Digits8x8,500,B_in_sqrt,50,2,1.0,0.972,0.466
Digits8x8,500,C_splitdata_fullcols,1,1,1.0,0.968,1.0
Digits8x8,500,C_splitdata_fullcols,1,2,1.0,0.9687,1.0
Digits8x8,500,D_dm_fullP,1,1,1.0,0.9727,1.0
Digits8x8,500,D_dm_fullP,1,2,1.0,0.9713,1.0
Digits8x8,500,D_sqrt_fullP,1,1,0.8893,0.6127,1.0
Digits8x8,500,D_sqrt_fullP,1,2,0.6273,0.438,1.0
Digits8x8,1000,B_in_dm,1,1,1.0,0.9713,1.0
Digits8x8,1000,B_in_dm,1,2,1.0,0.9753,1.0
Digits8x8,1000,B_in_dm,10,1,1.0,0.9533,0.2917
Digits8x8,1000,B_in_dm,10,2,1.0,0.9593,0.2917
Digits8x8,1000,B_in_dm,50,1,1.0,0.9393,0.0764
Digits8x8,1000,B_in_dm,50,2,1.0,0.974,0.0764
Digits8x8,1000,B_in_sqrt,1,1,0.8183,0.6407,1.0
Digits8x8,1000,B_in_sqrt,1,2,0.5644,0.46,1.0
Digits8x8,1000,B_in_sqrt,10,1,1.0,0.9453,0.4037
Digits8x8,1000,B_in_sqrt,10,2,1.0,0.94,0.4037
Digits8x8,1000,B_in_sqrt,50,1,1.0,0.9773,0.4188
Digits8x8,1000,B_in_sqrt,50,2,1.0,0.982,0.4188
Digits8x8,1000,C_splitdata_fullcols,1,1,1.0,0.978,1.0
Digits8x8,1000,C_splitdata_fullcols,1,2,1.0,0.98,1.0
Digits8x8,1000,D_dm_fullP,1,1,1.0,0.9787,1.0
Digits8x8,1000,D_dm_fullP,1,2,1.0,0.9807,1.0
Digits8x8,1000,D_sqrt_fullP,1,1,0.8126,0.6413,1.0
Digits8x8,1000,D_sqrt_fullP,1,2,0.5685,0.4613,1.0
FashionMNIST,2000,B_in_dm,1,1,1.0,0.7995,1.0
FashionMNIST,2000,B_in_dm,1,2,1.0,0.8018,1.0
FashionMNIST,2000,B_in_dm,10,1,1.0,0.8286,0.8461
FashionMNIST,2000,B_in_dm,10,2,1.0,0.834,0.8461
FashionMNIST,2000,B_in_sqrt,1,1,0.9672,0.6909,1.0
FashionMNIST,2000,B_in_sqrt,1,2,0.6275,0.4886,1.0
FashionMNIST,2000,B_in_sqrt,10,1,1.0,0.8075,0.7391
FashionMNIST,2000,B_in_sqrt,10,2,1.0,0.804,0.7391
FashionMNIST,2000,C_splitdata_fullcols,1,1,1.0,0.7996,1.0
FashionMNIST,2000,C_splitdata_fullcols,1,2,1.0,0.8025,1.0
FashionMNIST,2000,C_splitdata_fullcols,10,1,0.9398,0.8056,0.2793
FashionMNIST,2000,C_splitdata_fullcols,10,2,0.9532,0.8112,0.2793
FashionMNIST,2000,D_dm_fullP,1,1,1.0,0.7968,1.0
FashionMNIST,2000,D_dm_fullP,1,2,1.0,0.7997,1.0
FashionMNIST,2000,D_dm_fullP,10,1,0.9353,0.789,0.8423
FashionMNIST,2000,D_dm_fullP,10,2,0.9502,0.7909,0.8423
FashionMNIST,2000,D_sqrt_fullP,1,1,0.9707,0.6879,1.0
FashionMNIST,2000,D_sqrt_fullP,1,2,0.6423,0.4987,1.0
FashionMNIST,2000,D_sqrt_fullP,10,1,0.9182,0.7748,0.7288
FashionMNIST,2000,D_sqrt_fullP,10,2,0.9225,0.7632,0.7288
FashionMNIST,10000,B_in_dm,1,1,0.9752,0.8333,1.0
